long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0382_BXD048a_RwwJ	BXD48a_RwwJ_0382	BXD048a	4_rww	epoch_3a	G10_RI	39	49	NA	AI
4512-JFI-0381_BXD48_RwwJ	BXD48_RwwJ_0381	BXD048	4_rww	epoch_3a	G10_RI	54	64	NA	AI
4512-JFI-0397_BXD049_RwwJ	BXD49_RwwJ_0397	BXD049	4_rww	epoch_3a	G10_RI	38	48	NA	AI
4512-JFI-0419_BXD050_RwwJ	BXD50_RwwJ_0419	BXD050	4_rww	epoch_3a	G10_RI	44	54	NA	AI
4512-JFI-0408_BXD051_RwwJ	BXD51_RwwJ_0408	BXD051	4_rww	epoch_3a	G10_RI	61	71	NA	AI
4512-JFI-0447_BXD53_2RwwJ	BXD53_2RwwJ_0447	BXD053	4_rww	epoch_3a	G14_RI	53	67	NA	AI
4512-JFI-0349_BXD55_RwwJ	BXD55_RwwJ_0349	BXD055	4_rww	epoch_3a	G14_RI	45	59	NA	AI
4512-JFI-0421_BXD056_RwwJ	BXD56_RwwJ_0421	BXD056	4_rww	epoch_3a	G14_RI	51	65	NA	AI
4512-JFI-0465_BXD60_RwwJ	BXD60_RwwJ_0465	BXD060	4_rww	epoch_3b	G9_RI	54	63	NA	AI
4512-JFI-0461_BXD61_RwwJ	BXD61_RwwJ_0461	BXD061	4_rww	epoch_3b	G9_RI	41	50	NA	AI
4512-JFI-0377_BXD62_RwwJ	BXD62_RwwJ_0377	BXD062	4_rww	epoch_3b	G9_RI	51	60	NA	AI
4512-JFI-0399_BXD63_RwwJ	BXD63_RwwJ_0399	BXD063	4_rww	epoch_3b	G9_RI	60	69	NA	AI
4512-JFI-0483_BXD064_RwwJ	BXD64_RwwJ_0483	BXD064	4_rww	epoch_3b	G9_RI	62	71	NA	AI
4512-JFI-0387_BXD65a_RwwJ	BXD65a_RwwJ_0387	BXD065a	4_rww	epoch_3b	G9_RI	54	63	NA	AI
4512-JFI-0386_BXD65_RwwJ	BXD65_RwwJ_0386	BXD065	4_rww	epoch_3b	G9_RI	40	59	NA	AI
4512-JFI-0388_BXD65b_RwwJ	BXD65b_RwwJ_0388	BXD065b	4_rww	epoch_3b	G9_RI	55	59	NA	AI
4512-JFI-0442_BXD66_RwwJ	BXD66_RwwJ_0442	BXD066	4_rww	epoch_3b	G9_RI	52	61	NA	AI
4512-JFI-0460_BXD67_RwwJ	BXD67_RwwJ_0460	BXD067	4_rww	epoch_3b	G10_RI	48	58	NA	AI
4512-JFI-0462_BXD68_RwwJ	BXD68_RwwJ_0462	BXD068	4_rww	epoch_3b	G10_RI	45	79	NA	AI
4512-JFI-0400_BXD69_RwwJ	BXD69_RwwJ_0400	BXD069	4_rww	epoch_3b	G10_RI	53	63	NA	AI
4512-JFI-0378_BXD70_RwwJ	BXD70_RwwJ_0378	BXD070	4_rww	epoch_3b	G10_RI	50	60	NA	AI
4512-JFI-0433_BXD71_RwwJ	BXD71_RwwJ_0433	BXD071	4_rww	epoch_3b	G10_RI	42	52	NA	AI
4512-JFI-0439_BXD73a_RwwJ	BXD73a_RWW_0439	BXD073a	4_rww	epoch_3b	G10_RI	43	53	NA	AI
4512-JFI-0440_BXD073b_RwwJ	BXD073b_RwwJ_0440	BXD073b	4_rww	epoch_3b	G10_RI	34	44	NA	AI
4512-JFI-0438_BXD073_RwwJ	BXD073_RwwJ_0438	BXD073	4_rww	epoch_3b	G10_RI	48	48	NA	AI
4512-JFI-0446_BXD74_RwwJ	BXD74_RwwJ_0446	BXD074	4_rww	epoch_3b	G10_RI	60	70	NA	AI
4512-JFI-0423_BXD75_RwwJ	BXD75_Rwwj_0423	BXD075	4_rww	epoch_3b	G10_RI	52	62	NA	AI
NA	NA	BXD076	4_rww	epoch_3b	NA	NA	NA	NA	AI
4512-JFI-0379_BXD77_RwwJ	BXD77_RwwJ_0379	BXD077	4_rww	epoch_3b	G10_RI	59	69	NA	AI
4512-JFI-0420_BXD78_2_RwwJ	BXD78_2_RwwJ_0420	BXD078	4_rww	epoch_3b	G10_RI	49	59	NA	AI
